Sample in Buffer,Sample in Window,TRIGGER,top_i/PolarityShift_0_doubleOut[1:0],top_i/dds_compiler_1_m_axis_data_tdata[15:0],top_i/mult_gen_1_P[18:0]
157,157,0,1,-8190,-8190
158,158,0,1,6,-6
159,159,0,1,8190,8190
160,160,0,1,-6,-6
161,161,0,1,-8190,-8190
162,162,0,1,6,6
163,163,0,1,8190,8190
164,164,0,1,6,-6
165,165,0,1,-8190,-8190
166,166,0,1,-6,6
167,167,0,1,8190,8190
168,168,0,1,-6,6
169,169,0,1,-8190,-8190
170,170,0,1,6,-6
171,171,0,1,8190,8190
172,172,0,1,-6,-6
173,173,0,1,-8190,-8190
174,174,0,1,6,6
175,175,0,1,8190,8190
176,176,0,1,6,-6
177,177,0,1,-8190,-8190
178,178,0,1,6,6
179,179,0,1,8190,8190
180,180,0,1,-6,6
181,181,0,1,-8190,-8190
182,182,0,1,6,6
183,183,0,1,8190,8190
184,184,0,1,6,-6
185,185,0,1,-8190,-8190
186,186,0,1,6,6
187,187,0,1,8190,8190
188,188,0,1,6,6
189,189,0,1,-8190,-8190
190,190,0,1,-6,6
191,191,0,1,8190,8190
192,192,0,1,6,6
193,193,0,1,-8190,-8190
194,194,0,1,-6,-6
195,195,0,1,8190,8190
196,196,0,1,6,6
197,197,0,1,-8190,-8190
198,198,0,1,6,-6
199,199,0,1,8190,8190
200,200,0,1,6,6
201,201,0,1,-8190,-8190
202,202,0,1,-6,6
203,203,0,1,8190,8190
204,204,0,1,-6,6
205,205,0,1,-8190,-8190
206,206,0,1,-6,-6
207,207,0,1,8190,8190
208,208,0,1,-6,-6
209,209,0,1,-8190,-8190
210,210,0,1,6,-6
211,211,0,1,8190,8190
212,212,0,1,-6,-6
213,213,0,1,-8190,-8190
214,214,0,1,-6,6
215,215,0,1,8190,8190
216,216,0,1,-6,-6
217,217,0,1,-8190,-8190
218,218,0,1,6,-6
219,219,0,1,8190,8190
220,220,0,1,6,-6
221,221,0,1,-8190,-8190
222,222,0,1,6,6
223,223,0,1,8190,8190
224,224,0,1,6,6
225,225,0,1,-8190,-8190
226,226,0,1,-6,6
227,227,0,1,8190,8190
228,228,0,1,-6,6
229,229,0,1,-8190,-8190
230,230,0,1,-6,-6
231,231,0,1,8190,8190
232,232,0,1,6,-6
233,233,0,1,-8190,-8190
234,234,0,1,-6,-6
235,235,0,1,8190,8190
236,236,0,1,-6,6
237,237,0,1,-8190,-8190
238,238,0,1,6,-6
239,239,0,1,8190,8190
240,240,0,1,6,-6
241,241,0,1,-8190,-8190
242,242,0,1,6,6
243,243,0,1,8190,8190
244,244,0,1,6,6
245,245,0,1,-8190,-8190
246,246,0,1,6,6
247,247,0,1,8190,8190
248,248,0,1,6,6
249,249,0,1,-8190,-8190
250,250,0,1,6,6
251,251,0,1,8190,8190
252,252,0,1,6,6
253,253,0,1,-8190,-8190
254,254,0,1,6,6
255,255,0,1,8190,8190
256,256,0,1,6,6
257,257,0,1,-8190,-8190
258,258,0,1,6,6
259,259,0,1,8190,8190
260,260,0,1,-6,6
261,261,0,1,-8190,-8190
262,262,0,1,-6,6
263,263,0,1,8190,8190
264,264,0,1,-6,-6
265,265,0,1,-8190,-8190
266,266,0,1,6,-6
267,267,0,1,8190,8190
268,268,0,1,6,-6
269,269,0,1,-8190,-8190
270,270,0,1,6,6
271,271,0,1,8190,8190
272,272,0,1,-6,6
273,273,0,1,-8190,-8190
274,274,0,1,-6,6
275,275,0,1,8190,8190
276,276,0,1,-6,-6
277,277,0,1,-8190,-8190
278,278,0,1,6,-6
279,279,0,1,8190,8190
280,280,0,1,-6,-6
281,281,0,1,-8190,-8190
282,282,0,1,6,6
283,283,0,1,8190,8190
284,284,0,1,-6,-6
285,285,0,1,-8190,-8190
286,286,0,1,-6,6
287,287,0,1,8190,8190
288,288,0,1,6,-6
289,289,0,1,-8190,-8190
290,290,0,1,-6,-6
291,291,0,1,8190,8190
292,292,0,1,-6,6
293,293,0,1,-8190,-8190
294,294,0,1,6,-6
295,295,0,1,8190,8190
296,296,0,1,-6,-6
297,297,0,1,-8190,-8190
298,298,0,1,6,6
299,299,0,1,8190,8190
300,300,0,1,-6,-6
301,301,0,1,-8190,-8190
302,302,0,1,6,6
303,303,0,1,8190,8190
304,304,0,1,6,-6
305,305,0,1,-8190,-8190
306,306,0,1,6,6
307,307,0,1,8190,8190
308,308,0,1,-6,6
309,309,0,1,-8190,-8190
310,310,0,1,-6,6
311,311,0,1,8190,8190
312,312,0,1,6,-6
313,313,0,1,-8190,-8190
314,314,0,1,6,-6
315,315,0,1,8190,8190
316,316,0,1,-6,6
317,317,0,1,-8190,-8190
318,318,0,1,-6,6
319,319,0,1,8190,8190
320,320,0,1,-6,-6
321,321,0,1,-8190,-8190
322,322,0,1,6,-6
323,323,0,1,8190,8190
324,324,0,1,-6,-6
325,325,0,1,-8190,-8190
326,326,0,1,6,6
327,327,0,1,8190,8190
328,328,0,1,-6,-6
329,329,0,1,-8190,-8190
330,330,0,1,6,6
331,331,0,1,8190,8190
332,332,0,1,-6,-6
333,333,0,1,-8190,-8190
334,334,0,1,-6,6
335,335,0,1,8190,8190
336,336,0,1,-6,-6
337,337,0,1,-8190,-8190
338,338,0,1,6,-6
339,339,0,1,8190,8190
340,340,0,1,6,-6
341,341,0,1,-8190,-8190
342,342,0,1,-6,6
343,343,0,1,8190,8190
344,344,0,1,-6,6
345,345,0,1,-8190,-8190
346,346,0,1,6,-6
347,347,0,1,8190,8190
348,348,0,1,-6,-6
349,349,0,1,-8190,-8190
350,350,0,1,6,6
351,351,0,1,8190,8190
352,352,0,1,6,-6
353,353,0,1,-8190,-8190
354,354,0,1,6,6
355,355,0,1,8190,8190
356,356,0,1,6,6
357,357,0,1,-8190,-8190
358,358,0,1,6,6
359,359,0,1,8190,8190
360,360,0,1,-6,6
361,361,0,1,-8190,-8190
362,362,0,1,6,6
363,363,0,1,8190,8190
364,364,0,1,-6,-6
365,365,0,1,-8190,-8190
366,366,0,1,6,6
367,367,0,1,8190,8190
368,368,0,1,6,-6
369,369,0,1,-8190,-8190
370,370,0,1,6,6
371,371,0,1,8190,8190
372,372,0,1,-6,6
373,373,0,1,-8190,-8190
374,374,0,1,6,6
375,375,0,1,8190,8190
376,376,0,1,-6,-6
377,377,0,1,-8190,-8190
378,378,0,1,6,6
379,379,0,1,8190,8190
380,380,0,1,6,-6
381,381,0,1,-8190,-8190
382,382,0,1,6,6
383,383,0,1,8190,8190
384,384,0,1,-6,6
385,385,0,1,-8190,-8190
386,386,0,1,-6,6
387,387,0,1,8190,8190
388,388,0,1,-6,-6
389,389,0,1,-8190,-8190
390,390,0,1,6,-6
391,391,0,1,8190,8190
392,392,0,1,-6,-6
393,393,0,1,-8190,-8190
394,394,0,1,6,6
395,395,0,1,8190,8190
396,396,0,1,-6,-6
397,397,0,1,-8190,-8190
398,398,0,1,-6,6
399,399,0,1,8190,8190
400,400,0,1,6,-6
401,401,0,1,-8190,-8190
402,402,0,1,-6,-6
403,403,0,1,8190,8190
404,404,0,1,-6,6
405,405,0,1,-8190,-8190
406,406,0,1,6,-6
407,407,0,1,8190,8190
408,408,0,1,-6,-6
409,409,0,1,-8190,-8190
410,410,0,1,-6,6
411,411,0,1,8190,8190
412,412,0,1,-6,-6
413,413,0,1,-8190,-8190
414,414,0,1,6,-6
415,415,0,1,8190,8190
416,416,0,1,6,-6
417,417,0,1,-8190,-8190
418,418,0,1,6,6
419,419,0,1,8190,8190
420,420,0,1,-6,6
421,421,0,1,-8190,-8190
422,422,0,1,-6,6
423,423,0,1,8190,8190
424,424,0,1,6,-6
425,425,0,1,-8190,-8190
426,426,0,1,-6,-6
427,427,0,1,8190,8190
428,428,0,1,-6,6
429,429,0,1,-8190,-8190
430,430,0,1,-6,-6
431,431,0,1,8190,8190
432,432,0,1,6,-6
433,433,0,1,-8190,-8190
434,434,0,1,6,-6
435,435,0,1,8190,8190
436,436,0,1,6,6
437,437,0,1,-8190,-8190
438,438,0,1,6,6
439,439,0,1,8190,8190
440,440,0,1,-6,6
441,441,0,1,-8190,-8190
442,442,0,1,-6,6
443,443,0,1,8190,8190
444,444,0,1,-6,-6
445,445,0,1,-8190,-8190
446,446,0,1,6,-6
447,447,0,1,8190,8190
448,448,0,1,-6,-6
449,449,0,1,-8190,-8190
450,450,0,1,6,6
451,451,0,1,8190,8190
452,452,0,1,6,-6
453,453,0,1,-8190,-8190
454,454,0,1,6,6
455,455,0,1,8190,8190
456,456,0,1,-6,6
457,457,0,1,-8190,-8190
458,458,0,1,-6,6
459,459,0,1,8190,8190
460,460,0,1,-6,-6
461,461,0,1,-8190,-8190
462,462,0,1,-6,-6
463,463,0,1,8190,8190
464,464,0,1,-6,-6
465,465,0,1,-8190,-8190
466,466,0,1,6,-6
467,467,0,1,8190,8190
468,468,0,1,-6,-6
469,469,0,1,-8190,-8190
470,470,0,1,-6,6
471,471,0,1,8190,8190
472,472,0,1,-6,-6
473,473,0,1,-8190,-8190
474,474,0,1,-6,-6
475,475,0,1,8190,8190
476,476,0,1,6,-6
477,477,0,1,-8190,-8190
478,478,0,1,6,-6
479,479,0,1,8190,8190
480,480,0,1,-6,6
481,481,0,1,-8190,-8190
482,482,0,1,-6,6
483,483,0,1,8190,8190
484,484,0,1,6,-6
485,485,0,1,-8190,-8190
486,486,0,1,6,-6
487,487,0,1,8190,8190
488,488,0,1,6,6
489,489,0,1,-8190,-8190
490,490,0,1,6,6
491,491,0,1,8190,8190
492,492,0,1,6,6
493,493,0,1,-8190,-8190
494,494,0,1,6,6
495,495,0,1,8190,8190
496,496,0,1,6,6
497,497,0,1,-8190,-8190
498,498,0,1,6,6
499,499,0,1,8190,8190
500,500,0,1,6,6
501,501,0,1,-8190,-8190
502,502,0,1,6,6
503,503,0,1,8190,8190
504,504,0,1,6,6
505,505,0,1,-8190,-8190
506,506,0,1,-6,6
507,507,0,1,8190,8190
508,508,0,1,6,6
509,509,0,1,-8190,-8190
510,510,0,1,6,-6
511,511,0,1,8190,8190
512,512,0,1,6,6
513,513,0,1,-8190,-8190
514,514,0,1,-6,6
515,515,0,1,8190,8190
516,516,0,1,-6,6
517,517,0,1,-8190,-8190
518,518,0,1,6,-6
519,519,0,1,8190,8190
520,520,0,1,6,-6
521,521,0,1,-8190,-8190
522,522,0,1,6,6
523,523,0,1,8190,8190
524,524,0,1,6,6
525,525,0,1,-8190,-8190
526,526,0,1,-6,6
527,527,0,1,8190,8190
528,528,0,1,-6,6
529,529,0,1,-8190,-8190
530,530,0,1,6,-6
531,531,0,1,8190,8190
532,532,0,1,6,-6
533,533,0,1,-8190,-8190
534,534,0,1,-6,6
535,535,0,1,8190,8190
536,536,0,1,-6,6
537,537,0,1,-8190,-8190
538,538,0,1,6,-6
539,539,0,1,8190,8190
540,540,0,1,-6,-6
541,541,0,1,-8190,-8190
542,542,0,1,6,6
543,543,0,1,8190,8190
544,544,0,1,-6,-6
545,545,0,1,-8190,-8190
546,546,0,1,-6,6
547,547,0,1,8190,8190
548,548,0,1,-6,-6
549,549,0,1,-8190,-8190
550,550,0,1,6,-6
551,551,0,1,8190,8190
552,552,0,1,-6,-6
553,553,0,1,-8190,-8190
554,554,0,1,6,6
555,555,0,1,8190,8190
556,556,0,1,6,-6
557,557,0,1,-8190,-8190
558,558,0,1,6,6
559,559,0,1,8190,8190
560,560,0,1,6,6
561,561,0,1,-8190,-8190
562,562,0,1,-6,6
563,563,0,1,8190,8190
564,564,0,1,6,6
565,565,0,1,-8190,-8190
566,566,0,1,-6,-6
567,567,0,1,8190,8190
568,568,0,1,6,6
569,569,0,1,-8190,-8190
570,570,0,1,6,-6
571,571,0,1,8190,8190
572,572,0,1,6,6
573,573,0,1,-8190,-8190
574,574,0,1,-6,6
575,575,0,1,8190,8190
576,576,0,1,-6,6
577,577,0,1,-8190,-8190
578,578,0,1,-6,-6
579,579,0,1,8190,8190
580,580,0,1,-6,-6
581,581,0,1,-8190,-8190
582,582,0,1,-6,-6
583,583,0,1,8190,8190
584,584,0,1,6,-6
585,585,0,1,-8190,-8190
586,586,0,1,-6,-6
587,587,0,1,8190,8190
588,588,0,1,-6,6
589,589,0,1,-8190,-8190
590,590,0,1,6,-6
591,591,0,1,8190,8190
592,592,0,1,6,-6
593,593,0,1,-8190,-8190
594,594,0,1,6,6
595,595,0,1,8190,8190
596,596,0,1,6,6
597,597,0,1,-8190,-8190
598,598,0,1,6,6
599,599,0,1,8190,8190
600,600,0,1,6,6
601,601,0,1,-8190,-8190
602,602,0,1,-6,6
603,603,0,1,8190,8190
604,604,0,1,-6,6
605,605,0,1,-8190,-8190
606,606,0,1,6,-6
607,607,0,1,8190,8190
608,608,0,1,6,-6
609,609,0,1,-8190,-8190
610,610,0,1,-6,6
611,611,0,1,8190,8190
612,612,0,1,6,6
613,613,0,1,-8190,-8190
614,614,0,1,-6,-6
615,615,0,1,8190,8190
616,616,0,1,-6,6
617,617,0,1,-8190,-8190
618,618,0,1,-6,-6
619,619,0,1,8190,8190
620,620,0,1,-6,-6
621,621,0,1,-8190,-8190
622,622,0,1,6,-6
623,623,0,1,8190,8190
624,624,0,1,6,-6
625,625,0,1,-8190,-8190
626,626,0,1,-6,6
627,627,0,1,8190,8190
628,628,0,1,-6,6
629,629,0,1,-8190,-8190
630,630,0,1,-6,-6
631,631,0,1,8190,8190
632,632,0,1,6,-6
633,633,0,1,-8190,-8190
634,634,0,1,6,-6
635,635,0,1,8190,8190
636,636,0,1,-6,6
637,637,0,1,-8190,-8190
638,638,0,1,-6,6
639,639,0,1,8190,8190
640,640,0,1,-6,-6
641,641,0,1,-8190,-8190
642,642,0,1,6,-6
643,643,0,1,8190,8190
644,644,0,1,6,-6
645,645,0,1,-8190,-8190
646,646,0,1,6,6
647,647,0,1,8190,8190
648,648,0,1,-6,6
649,649,0,1,-8190,-8190
650,650,0,1,-6,6
651,651,0,1,8190,8190
652,652,0,1,6,-6
653,653,0,1,-8190,-8190
654,654,0,1,6,-6
655,655,0,1,8190,8190
656,656,0,1,-6,6
657,657,0,1,-8190,-8190
658,658,0,1,6,6
659,659,0,1,8190,8190
660,660,0,1,-6,-6
661,661,0,1,-8190,-8190
662,662,0,1,6,6
663,663,0,1,8190,8190
664,664,0,1,-6,-6
665,665,0,1,-8190,-8190
666,666,0,1,6,6
667,667,0,1,8190,8190
668,668,0,1,6,-6
669,669,0,1,-8190,-8190
670,670,0,1,6,6
671,671,0,1,8190,8190
672,672,0,1,-6,6
673,673,0,1,-8190,-8190
674,674,0,1,-6,6
675,675,0,1,8190,8190
676,676,0,1,-6,-6
677,677,0,1,-8190,-8190
678,678,0,1,6,-6
679,679,0,1,8190,8190
680,680,0,1,-6,-6
681,681,0,1,-8190,-8190
682,682,0,1,-6,6
683,683,0,1,8190,8190
684,684,0,1,-6,-6
685,685,0,1,-8190,-8190
686,686,0,1,6,-6
687,687,0,1,8190,8190
688,688,0,1,-6,-6
689,689,0,1,-8190,-8190
690,690,0,1,-6,6
691,691,0,1,8190,8190
692,692,0,1,6,-6
693,693,0,1,-8190,-8190
694,694,0,1,6,-6
695,695,0,1,8190,8190
696,696,0,1,-6,6
697,697,0,1,-8190,-8190
698,698,0,1,6,6
699,699,0,1,8190,8190
700,700,0,1,-6,-6
701,701,0,1,-8190,-8190
702,702,0,1,-6,6
703,703,0,1,8190,8190
704,704,0,1,6,-6
705,705,0,1,-8190,-8190
706,706,0,1,6,-6
707,707,0,1,8190,8190
708,708,0,1,6,6
709,709,0,1,-8190,-8190
710,710,0,1,6,6
711,711,0,1,8190,8190
712,712,0,1,-6,6
713,713,0,1,-8190,-8190
714,714,0,1,6,6
715,715,0,1,8190,8190
716,716,0,1,-6,-6
717,717,0,1,-8190,-8190
718,718,0,1,6,6
719,719,0,1,8190,8190
720,720,0,1,-6,-6
721,721,0,1,-8190,-8190
722,722,0,1,-6,6
723,723,0,1,8190,8190
724,724,0,1,6,-6
725,725,0,1,-8190,-8190
726,726,0,1,-6,-6
727,727,0,1,8190,8190
728,728,0,1,6,6
729,729,0,1,-8190,-8190
730,730,0,1,-6,-6
731,731,0,1,8190,8190
732,732,0,1,6,6
733,733,0,1,-8190,-8190
734,734,0,1,6,-6
735,735,0,1,8190,8190
736,736,0,1,6,6
737,737,0,1,-8190,-8190
738,738,0,1,-6,6
739,739,0,1,8190,8190
740,740,0,1,6,6
741,741,0,1,-8190,-8190
742,742,0,1,6,-6
743,743,0,1,8190,8190
744,744,0,1,-6,6
745,745,0,1,-8190,-8190
746,746,0,1,-6,6
747,747,0,1,8190,8190
748,748,0,1,-6,-6
749,749,0,1,-8190,-8190
750,750,0,1,-6,-6
751,751,0,1,8190,8190
752,752,0,1,-6,-6
753,753,0,1,-8190,-8190
754,754,0,1,6,-6
755,755,0,1,8190,8190
756,756,0,1,6,-6
757,757,0,1,-8190,-8190
758,758,0,1,6,6
759,759,0,1,8190,8190
760,760,0,1,6,6
761,761,0,1,-8190,-8190
762,762,0,1,-6,6
763,763,0,1,8190,8190
764,764,0,1,6,6
765,765,0,1,-8190,-8190
766,766,0,1,6,-6
767,767,0,1,8190,8190
768,768,0,1,6,6
769,769,0,1,-8190,-8190
770,770,0,1,-6,6
771,771,0,1,8190,8190
772,772,0,1,6,6
773,773,0,1,-8190,-8190
774,774,0,1,6,-6
775,775,0,1,8190,8190
776,776,0,1,-6,6
777,777,0,1,-8190,-8190
778,778,0,1,-6,6
779,779,0,1,8190,8190
780,780,0,1,-6,-6
781,781,0,1,-8190,-8190
782,782,0,1,6,-6
783,783,0,1,8190,8190
784,784,0,1,6,-6
785,785,0,1,-8190,-8190
786,786,0,1,-6,6
787,787,0,1,8190,8190
788,788,0,1,6,6
789,789,0,1,-8190,-8190
790,790,0,1,-6,-6
791,791,0,1,8190,8190
792,792,0,1,6,6
793,793,0,1,-8190,-8190
794,794,0,1,6,-6
795,795,0,1,8190,8190
796,796,0,1,6,6
797,797,0,1,-8190,-8190
798,798,0,1,-6,6
799,799,0,1,8190,8190
800,800,0,1,-6,6
801,801,0,1,-8190,-8190
802,802,0,1,6,-6
803,803,0,1,8190,8190
804,804,0,1,-6,-6
805,805,0,1,-8190,-8190
806,806,0,1,6,6
807,807,0,1,8190,8190
808,808,0,1,-6,-6
809,809,0,1,-8190,-8190
810,810,0,1,-6,6
811,811,0,1,8190,8190
812,812,0,1,-6,-6
813,813,0,1,-8190,-8190
814,814,0,1,-6,-6
815,815,0,1,8190,8190
816,816,0,1,-6,-6
817,817,0,1,-8190,-8190
818,818,0,1,-6,-6
819,819,0,1,8190,8190
820,820,0,1,6,-6
821,821,0,1,-8190,-8190
822,822,0,1,-6,-6
823,823,0,1,8190,8190
824,824,0,1,6,6
825,825,0,1,-8190,-8190
826,826,0,1,-6,-6
827,827,0,1,8190,8190
828,828,0,1,-6,6
829,829,0,1,-8190,-8190
830,830,0,1,6,-6
831,831,0,1,8190,8190
832,832,0,1,6,-6
833,833,0,1,-8190,-8190
834,834,0,1,-6,6
835,835,0,1,8190,8190
836,836,0,1,-6,6
837,837,0,1,-8190,-8190
838,838,0,1,6,-6
839,839,0,1,8190,8190
840,840,0,1,-6,-6
841,841,0,1,-8190,-8190
842,842,0,1,-6,6
843,843,0,1,8190,8190
844,844,0,1,6,-6
845,845,0,1,-8190,-8190
846,846,0,1,6,-6
847,847,0,1,8190,8190
848,848,0,1,-6,6
849,849,0,1,-8190,-8190
850,850,0,1,6,6
851,851,0,1,8190,8190
852,852,0,1,-6,-6
853,853,0,1,-8190,-8190
854,854,0,1,-6,6
855,855,0,1,8190,8190
856,856,0,1,6,-6
857,857,0,1,-8190,-8190
858,858,0,1,6,-6
859,859,0,1,8190,8190
860,860,0,1,-6,6
861,861,0,1,-8190,-8190
862,862,0,1,6,6
863,863,0,1,8190,8190
864,864,0,1,-6,-6
865,865,0,1,-8190,-8190
866,866,0,1,6,6
867,867,0,1,8190,8190
868,868,0,1,6,-6
869,869,0,1,-8190,-8190
870,870,0,1,6,6
871,871,0,1,8190,8190
872,872,0,1,-6,6
873,873,0,1,-8190,-8190
874,874,0,1,-6,6
875,875,0,1,8190,8190
876,876,0,1,-6,-6
877,877,0,1,-8190,-8190
878,878,0,1,-6,-6
879,879,0,1,8190,8190
880,880,0,1,6,-6
881,881,0,1,-8190,-8190
882,882,0,1,6,-6
883,883,0,1,8190,8190
884,884,0,1,-6,6
885,885,0,1,-8190,-8190
886,886,0,1,-6,6
887,887,0,1,8190,8190
888,888,0,1,6,-6
889,889,0,1,-8190,-8190
890,890,0,1,6,-6
891,891,0,1,8190,8190
892,892,0,1,-6,6
893,893,0,1,-8190,-8190
894,894,0,1,-6,6
895,895,0,1,8190,8190
896,896,0,1,6,-6
897,897,0,1,-8190,-8190
898,898,0,1,-6,-6
899,899,0,1,8190,8190
900,900,0,1,6,6
901,901,0,1,-8190,-8190
902,902,0,1,-6,-6
903,903,0,1,8190,8190
904,904,0,1,-6,6
905,905,0,1,-8190,-8190
906,906,0,1,6,-6
907,907,0,1,8190,8190
908,908,0,1,-6,-6
909,909,0,1,-8190,-8190
910,910,0,1,6,6
911,911,0,1,8190,8190
912,912,0,1,6,-6
913,913,0,1,-8190,-8190
914,914,0,1,6,6
915,915,0,1,8190,8190
916,916,0,1,-6,6
917,917,0,1,-8190,-8190
918,918,0,1,-6,6
919,919,0,1,8190,8190
920,920,0,1,6,-6
921,921,0,1,-8190,-8190
922,922,0,1,6,-6
923,923,0,1,8190,8190
924,924,0,1,-6,6
925,925,0,1,-8190,-8190
926,926,0,1,6,6
927,927,0,1,8190,8190
928,928,0,1,6,-6
929,929,0,1,-8190,-8190
930,930,0,1,6,6
931,931,0,1,8190,8190
932,932,0,1,-6,6
933,933,0,1,-8190,-8190
934,934,0,1,6,6
935,935,0,1,8190,8190
936,936,0,1,6,-6
937,937,0,1,-8190,-8190
938,938,0,1,-6,6
939,939,0,1,8190,8190
940,940,0,1,-6,6
941,941,0,1,-8190,-8190
942,942,0,1,6,-6
943,943,0,1,8190,8190
944,944,0,1,6,-6
945,945,0,1,-8190,-8190
946,946,0,1,6,6
947,947,0,1,8190,8190
948,948,0,1,-6,6
949,949,0,1,-8190,-8190
950,950,0,1,6,6
951,951,0,1,8190,8190
952,952,0,1,-6,-6
953,953,0,1,-8190,-8190
954,954,0,1,6,6
955,955,0,1,8190,8190
956,956,0,1,-6,-6
957,957,0,1,-8190,-8190
958,958,0,1,6,6
959,959,0,1,8190,8190
960,960,0,1,6,-6
961,961,0,1,-8190,-8190
962,962,0,1,6,6
963,963,0,1,8190,8190
964,964,0,1,6,6
965,965,0,1,-8190,-8190
966,966,0,1,6,6
967,967,0,1,8190,8190
968,968,0,1,6,6
969,969,0,1,-8190,-8190
970,970,0,1,6,6
971,971,0,1,8190,8190
972,972,0,1,-6,6
973,973,0,1,-8190,-8190
974,974,0,1,6,6
975,975,0,1,8190,8190
976,976,0,1,-6,-6
977,977,0,1,-8190,-8190
978,978,0,1,-6,6
979,979,0,1,8190,8190
980,980,0,1,6,-6
981,981,0,1,-8190,-8190
982,982,0,1,6,-6
983,983,0,1,8190,8190
984,984,0,1,-6,6
