x x x
255 0 0
254 0 0
255 0 0
254 0 0
255 0 0
254 0 0
218 0 0
77 0 0
211 0 0
227 0 227
10 0 0
37 0 0
59 0 0
168 0 0
255 0 0
89 0 0
102 0 0
210 0 0
140 0 0
146 0 0
165 0 0
30 0 30
71 0 184
64 0 0
1 0 0
16 0 0
0 0 0
1 0 0
177 0 0
13 0 0
0 0 0
1 0 0
193 0 0
0 0 0
0 0 1
1 0 0
1 0 0
240 0 0
1 0 0
43 0 0
177 0 0
5 0 0
178 0 0
254 0 0
255 0 0
255 0 255
255 0 6
255 0 0
255 0 0
254 0 0
254 0 0
255 0 0
254 0 0
255 0 0
254 0 0
254 0 0
254 0 0
254 0 254
254 0 104
255 0 0
255 0 0
255 0 0
255 0 0
254 0 0
255 0 0
254 0 0
254 0 0
254 0 0
254 0 0
255 0 255
255 0 255
255 0 0
255 0 0
254 0 0
255 0 0
255 0 0
255 0 0
254 0 0
254 0 0
254 0 0
255 0 0
255 0 255
255 0 254
254 0 0
255 0 0
255 0 0
255 0 0
254 0 0
254 0 0
255 0 0
255 0 0
254 0 0
255 0 0
255 0 255
254 0 254
255 0 0
255 0 0
254 0 0
254 0 0
255 0 0
255 0 0
254 0 0
255 0 0
254 0 0
255 0 0
254 0 254
254 0 254
255 0 0
254 0 0
254 0 0
255 0 0
254 0 0
255 0 0
254 0 0
255 0 0
254 0 0
254 0 0
254 0 254
254 0 254
254 0 0
255 0 0
254 0 0
254 0 0
255 0 0
254 0 0
254 0 0
254 0 0
254 0 0
254 0 0
254 0 254
255 0 255
255 0 0
255 0 0
255 0 0
254 0 0
254 0 0
255 0 0
254 0 0
254 0 0
255 0 0
255 0 0
255 0 255
255 0 255
255 0 0
254 0 0
255 0 0
255 0 0
255 0 0
254 0 0
255 0 0
254 0 0
254 0 0
255 0 0
254 0 254
255 0 254
255 0 0
255 0 0
255 0 0
254 0 0
254 0 0
255 0 0
255 0 0
254 0 0
254 0 0
254 0 0
255 0 255
254 0 255
254 0 0
254 0 0
255 0 0
255 0 0
255 0 0
254 0 0
255 0 0
254 0 0
255 0 0
254 0 0
255 0 255
255 0 255
254 0 0
254 0 0
255 0 0
255 0 0
254 0 0
255 0 0
255 0 0
254 0 0
254 0 0
254 0 0
254 0 254
254 0 254
254 0 0
255 0 0
254 0 0
255 0 0
254 0 0
255 0 0
254 0 0
254 0 0
255 0 0
254 0 0
255 0 255
255 0 254
255 0 0
255 0 0
255 0 0
254 0 0
254 0 0
254 0 0
254 0 0
253 0 0
41 0 0
100 0 0
114 0 114
157 0 10
0 0 0
9 0 0
147 0 0
187 0 0
179 0 0
51 0 0
202 0 0
143 0 0
165 0 0
194 0 0
148 0 148
70 0 71
81 0 64
0 0 0
16 0 0
1 0 0
2 0 0
176 0 0
29 0 0
1 0 0
0 0 0
193 0 0
0 0 0
0 0 0
225 0 255
1 0 0
240 0 0
1 0 0
27 0 0
224 0 0
1 0 0
240 0 0
0 0 0
128 0 0
225 0 225
0 0 255
240 0 70
6 0 0
10 0 0
5 0 0
100 0 0
111 0 0
102 0 0
1 0 0
65 0 0
50 0 0
175 0 175
250 0 254
254 0 99
254 0 0
254 0 0
255 0 0
255 0 0
254 0 0
255 0 0
255 0 0
255 0 0
255 0 0
254 0 254
254 0 255
254 0 254
254 0 0
255 0 0
255 0 0
255 0 0
254 0 0
255 0 0
254 0 0
254 0 0
255 0 0
255 0 255
255 0 255
254 0 255
255 0 0
255 0 0
255 0 0
254 0 0
255 0 0
255 0 0
254 0 0
254 0 0
254 0 0
255 0 255
254 0 254
255 0 255
255 0 0
254 0 0
254 0 0
255 0 0
255 0 0
254 0 0
254 0 0
255 0 0
254 0 0
255 0 255
255 0 254
254 0 255
254 0 0
254 0 0
255 0 0
254 0 0
255 0 0
254 0 0
255 0 0
254 0 0
255 0 0
